Reporting_Period,County,Facility_Name,Youth_in_Facility,Youth_Tested,Youth_Confirmed_Positive,Youth_Confirmed_at_Intake_(Optional),Youth_Confirmed_in_First_14_Days_(Optional),Youth_Confirmed_In_Custody_(Optional),Youth_Hospitalized,Estimated_Youth_Resolved,Youth_Deaths,Additional_Information_(Optional),Staff_Tested,Staff_Confirmed_Positive,Staff_Resolved,Additional_County_Information
8/09/20 - 8/15/20,Humboldt,Humboldt Regional Center,4,0,0,0,0,0,0,0,0,,,,,
8/16/20 - 8/22/20,Humboldt,Humboldt Regional Center,4,0,0,,,,0,0,0,,,,,
8/23/20 - 8/29/20,Humboldt,Humboldt Regional Center,4,0,0,,,,0,0,0,,,,,
8/30/20 - 9/05/20,Humboldt,Humboldt Regional Center,4,0,0,,,,0,0,0,,,,,
9/06/20 - 9/12/20,Humboldt,Humboldt Regional Center,4,0,0,,,,0,0,0,,,,,
9/13/20 - 9/19/20,Humboldt,Humboldt Regional Center,4,0,0,,,,0,0,0,,,,,
9/20/20 - 9/26/20,Humboldt,Humboldt Regional Center,5,0,0,,,,0,0,0,,,,,
9/27/20 - 10/03/20,Humboldt,Humboldt Regional Center,5,0,0,,,,0,0,0,,,,,
10/04/20 - 10/10/20,Humboldt,,,,,,,,,,,,0,0,0,
10/11/20 - 10/17/20,Humboldt,,,,,,,,,,,,0,0,0,
10/18/20 - 10/24/20,Humboldt,,,,,,,,,,,,0,0,0,
10/25/20 - 10/31/20,Humboldt,,,,,,,,,,,,0,0,0,
11/01/20 - 11/07/20,Humboldt,,,,,,,,,,,,0,0,0,
7/19/20 - 7/25/20,Humboldt,,,,,,,,,,,,0,0,0,
7/26/20 - 8/01/20,Humboldt,,,,,,,,,,,,<11,0,0,
8/02/20 - 8/08/20,Humboldt,,,,,,,,,,,,0,0,0,
8/09/20 - 8/15/20,Humboldt,,,,,,,,,,,,0,0,0,
8/16/20 - 8/22/20,Humboldt,,,,,,,,,,,,0,0,0,
8/23/20 - 8/29/20,Humboldt,,,,,,,,,,,,0,0,0,
8/30/20 - 9/05/20,Humboldt,,,,,,,,,,,,0,0,0,
9/06/20 - 9/12/20,Humboldt,,,,,,,,,,,,0,0,0,
9/13/20 - 9/19/20,Humboldt,,,,,,,,,,,,0,0,0,
9/20/20 - 9/26/20,Humboldt,,,,,,,,,,,,0,0,0,
9/27/20 - 10/03/20,Humboldt,,,,,,,,,,,,0,0,0,
10/04/20 - 10/10/20,Imperial,Imperial County Juvenile Hall,5,0,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Imperial,Imperial County Juvenile Hall,5,<11,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,Imperial,Imperial County Juvenile Hall,5,0,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Imperial,Imperial County Juvenile Hall,4,0,0,0,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,Imperial,Imperial County Juvenile Hall,3,0,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Imperial,Imperial County Juvenile Hall,2,0,0,0,0,,0,0,0,,,,,
7/26/20 - 8/01/20,Imperial,Imperial County Juvenile Hall,2,<11,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Imperial,Imperial County Juvenile Hall,3,<11,0,0,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,Imperial,Imperial County Juvenile Hall,3,0,0,0,0,,0,0,0,,,,,
8/16/20 - 8/22/20,Imperial,Imperial County Juvenile Hall,3,0,0,0,0,0,0,0,0,,,,,
8/23/20 - 8/29/20,Imperial,Imperial County Juvenile Hall,3,0,0,0,0,0,0,0,0,,,,,
8/30/20 - 9/05/20,Imperial,Imperial County Juvenile Hall,4,<11,0,0,0,0,0,0,0,,,,,
9/06/20 - 9/12/20,Imperial,Imperial County Juvenile Hall,3,0,0,0,0,0,0,0,0,,,,,
9/13/20 - 9/19/20,Imperial,Imperial County Juvenile Hall,5,0,0,0,0,0,0,0,0,,,,,
9/20/20 - 9/26/20,Imperial,Imperial County Juvenile Hall,6,<11,0,0,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,Imperial,Imperial County Juvenile Hall,5,0,0,0,0,0,0,0,0,,,,,
10/04/20 - 10/10/20,Imperial,,,,,,,,,,,,0,0,0,
10/11/20 - 10/17/20,Imperial,,,,,,,,,,,,<11,0,0,
10/18/20 - 10/24/20,Imperial,,,,,,,,,,,,0,0,0,
10/25/20 - 10/31/20,Imperial,,,,,,,,,,,,0,0,0,
11/01/20 - 11/07/20,Imperial,,,,,,,,,,,,<11,0,0,
7/19/20 - 7/25/20,Imperial,,,,,,,,,,,,0,0,0,
7/26/20 - 8/01/20,Imperial,,,,,,,,,,,,0,0,0,
8/02/20 - 8/08/20,Imperial,,,,,,,,,,,,0,0,0,
8/09/20 - 8/15/20,Imperial,,,,,,,,,,,,0,0,0,
8/16/20 - 8/22/20,Imperial,,,,,,,,,,,,0,0,0,
8/23/20 - 8/29/20,Imperial,,,,,,,,,,,,0,0,0,
8/30/20 - 9/05/20,Imperial,,,,,,,,,,,,0,0,0,
9/06/20 - 9/12/20,Imperial,,,,,,,,,,,,0,0,0,
9/13/20 - 9/19/20,Imperial,,,,,,,,,,,,<11,0,0,
9/20/20 - 9/26/20,Imperial,,,,,,,,,,,,<11,0,0,
9/27/20 - 10/03/20,Imperial,,,,,,,,,,,,0,0,0,
10/04/20 - 10/10/20,Kern,Camp Erwin Owen,37,0,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Kern,Camp Erwin Owen,37,0,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,Kern,Camp Erwin Owen,38,0,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Kern,Camp Erwin Owen,38,0,0,0,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,Kern,Camp Erwin Owen,38,0,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Kern,Camp Erwin Owen,30,0,0,0,0,0,0,0,0,,,,,
7/26/20 - 8/01/20,Kern,Camp Erwin Owen,30,0,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Kern,Camp Erwin Owen,29,0,0,0,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,Kern,Camp Erwin Owen,26,0,0,0,0,0,0,0,0,,,,,
8/16/20 - 8/22/20,Kern,Camp Erwin Owen,26,0,0,0,0,0,0,0,0,,,,,
8/23/20 - 8/29/20,Kern,Camp Erwin Owen,24,0,0,0,0,0,0,0,0,,,,,
8/30/20 - 9/05/20,Kern,Camp Erwin Owen,26,0,0,0,0,0,0,0,0,,,,,
9/06/20 - 9/12/20,Kern,Camp Erwin Owen,27,0,0,0,0,0,0,0,0,,,,,
9/13/20 - 9/19/20,Kern,Camp Erwin Owen,31,0,0,0,0,0,0,0,0,,,,,
9/20/20 - 9/26/20,Kern,Camp Erwin Owen,34,0,0,0,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,Kern,Camp Erwin Owen,36,0,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Kern,Furlough Trtmnt Rehab Prog,0,0,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Kern,James G. Bowles Juvenile Hall,57,<11,0,0,0,0,0,0,0,,,,,
10/04/20 - 10/10/20,Kern,James G. Bowles Juvenile Hall/Pathways/FTR,86,<11,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Kern,James G. Bowles Juvenile Hall/Pathways/FTR,90,0,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,Kern,James G. Bowles Juvenile Hall/Pathways/FTR,85,0,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Kern,James G. Bowles Juvenile Hall/Pathways/FTR,82,<11,<11,<11,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,Kern,James G. Bowles Juvenile Hall/Pathways/FTR,82,0,0,0,0,0,0,0,0,,,,,
7/26/20 - 8/01/20,Kern,James G. Bowles Juvenile Hall/Pathways/FTR,70,<11,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Kern,James G. Bowles Juvenile Hall/Pathways/FTR,65,<11,0,0,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,Kern,James G. Bowles Juvenile Hall/Pathways/FTR,66,0,0,0,0,0,0,0,0,,,,,
8/16/20 - 8/22/20,Kern,James G. Bowles Juvenile Hall/Pathways/FTR,71,<11,0,0,0,0,0,0,0,,,,,
8/23/20 - 8/29/20,Kern,James G. Bowles Juvenile Hall/Pathways/FTR,77,<11,0,0,0,0,0,0,0,,,,,
8/30/20 - 9/05/20,Kern,James G. Bowles Juvenile Hall/Pathways/FTR,80,0,0,0,0,0,0,0,0,,,,,
9/06/20 - 9/12/20,Kern,James G. Bowles Juvenile Hall/Pathways/FTR,75,<11,0,0,0,0,0,0,0,,,,,
9/13/20 - 9/19/20,Kern,James G. Bowles Juvenile Hall/Pathways/FTR,85,0,0,0,0,0,0,0,0,,,,,
9/20/20 - 9/26/20,Kern,James G. Bowles Juvenile Hall/Pathways/FTR,89,<11,0,0,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,Kern,James G. Bowles Juvenile Hall/Pathways/FTR,95,<11,0,0,0,0,0,0,0,,,,,
10/04/20 - 10/10/20,Kern,Larry J. Rhoades Crossroads Facility,36,0,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Kern,Larry J. Rhoades Crossroads Facility,36,0,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,Kern,Larry J. Rhoades Crossroads Facility,39,0,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Kern,Larry J. Rhoades Crossroads Facility,40,0,0,0,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,Kern,Larry J. Rhoades Crossroads Facility,40,0,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Kern,Larry J. Rhoades Crossroads Facility,42,0,0,0,0,0,0,0,0,,,,,
7/26/20 - 8/01/20,Kern,Larry J. Rhoades Crossroads Facility,37,0,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Kern,Larry J. Rhoades Crossroads Facility,39,<11,0,0,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,Kern,Larry J. Rhoades Crossroads Facility,38,0,0,0,0,0,0,0,0,,,,,
8/16/20 - 8/22/20,Kern,Larry J. Rhoades Crossroads Facility,39,0,0,0,0,0,0,0,0,,,,,
8/23/20 - 8/29/20,Kern,Larry J. Rhoades Crossroads Facility,36,0,0,0,0,0,0,0,0,,,,,
8/30/20 - 9/05/20,Kern,Larry J. Rhoades Crossroads Facility,31,0,0,0,0,0,0,0,0,,,,,
9/06/20 - 9/12/20,Kern,Larry J. Rhoades Crossroads Facility,34,0,0,0,0,0,0,0,0,,,,,
9/13/20 - 9/19/20,Kern,Larry J. Rhoades Crossroads Facility,36,0,0,0,0,0,0,0,0,,,,,
9/20/20 - 9/26/20,Kern,Larry J. Rhoades Crossroads Facility,36,0,0,0,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,Kern,Larry J. Rhoades Crossroads Facility,31,0,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Kern,Pathways Academy,12,0,0,0,0,0,0,0,0,,,,,
10/04/20 - 10/10/20,Kern,,,,,,,,,,,,<11,0,0,
10/11/20 - 10/17/20,Kern,,,,,,,,,,,,<11,<11,0,
10/18/20 - 10/24/20,Kern,,,,,,,,,,,,<11,0,0,
10/25/20 - 10/31/20,Kern,,,,,,,,,,,,<11,0,0,
11/01/20 - 11/07/20,Kern,,,,,,,,,,,,0,0,<11,
7/19/20 - 7/25/20,Kern,,,,,,,,,,,,<11,<11,0,
7/26/20 - 8/01/20,Kern,,,,,,,,,,,,<11,0,<11,
8/02/20 - 8/08/20,Kern,,,,,,,,,,,,<11,<11,<11,
8/09/20 - 8/15/20,Kern,,,,,,,,,,,,<11,0,<11,
8/16/20 - 8/22/20,Kern,,,,,,,,,,,,<11,0,0,
8/23/20 - 8/29/20,Kern,,,,,,,,,,,,<11,0,0,
8/30/20 - 9/05/20,Kern,,,,,,,,,,,,0,0,0,
9/06/20 - 9/12/20,Kern,,,,,,,,,,,,<11,0,0,
9/13/20 - 9/19/20,Kern,,,,,,,,,,,,<11,0,0,
9/20/20 - 9/26/20,Kern,,,,,,,,,,,,<11,0,0,
9/27/20 - 10/03/20,Kern,,,,,,,,,,,,0,0,0,
8/09/20 - 8/15/20,Kings,Juvenile Center Camp,18,0,0,0,0,0,0,0,0,Includes camp beds,,,,
8/30/20 - 9/05/20,Kings,Juvenile Center Camp,20,0,0,,0,0,0,0,0,Includes Camp beds,,,,
10/04/20 - 10/10/20,Kings,Kings County Juvenile Center,21,<11,0,0,0,0,0,0,0,Includes camp beds,,,,
10/11/20 - 10/17/20,Kings,Kings County Juvenile Center,19,<11,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,Kings,Kings County Juvenile Center,18,<11,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Kings,Kings County Juvenile Center,19,<11,0,0,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,Kings,Kings County Juvenile Center,19,<11,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Kings,Kings County Juvenile Center,22,<11,0,0,0,0,0,0,0,,,,,
7/26/20 - 8/01/20,Kings,Kings County Juvenile Center,21,<11,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Kings,Kings County Juvenile Center,18,0,0,0,0,0,0,0,0,,,,,
8/16/20 - 8/22/20,Kings,Kings County Juvenile Center,19,0,0,0,0,0,0,0,0,Includes Camp beds,,,,
8/23/20 - 8/29/20,Kings,Kings County Juvenile Center,19,0,0,0,0,0,0,0,0,Includes Camp beds,,,,
9/06/20 - 9/12/20,Kings,Kings County Juvenile Center,21,0,0,0,0,0,0,0,0,Includes Camp beds,,,,
9/13/20 - 9/19/20,Kings,Kings County Juvenile Center,22,0,0,0,0,0,0,0,0,Includes Camp beds,,,,
9/20/20 - 9/26/20,Kings,Kings County Juvenile Center,22,0,0,0,0,0,0,0,0,Includes Camp beds,,,,
9/27/20 - 10/03/20,Kings,Kings County Juvenile Center,22,0,0,0,0,0,0,0,0,Includes Camp beds,,,,
10/04/20 - 10/10/20,Kings,,,,,,,,,,,,0,0,0,
10/11/20 - 10/17/20,Kings,,,,,,,,,,,,0,0,0,
10/18/20 - 10/24/20,Kings,,,,,,,,,,,,0,0,0,
10/25/20 - 10/31/20,Kings,,,,,,,,,,,,0,0,0,
11/01/20 - 11/07/20,Kings,,,,,,,,,,,,0,0,0,
7/19/20 - 7/25/20,Kings,,,,,,,,,,,,<11,0,0,
7/26/20 - 8/01/20,Kings,,,,,,,,,,,,0,0,0,
8/02/20 - 8/08/20,Kings,,,,,,,,,,,,<11,0,0,
8/09/20 - 8/15/20,Kings,,,,,,,,,,,,0,0,0,
8/16/20 - 8/22/20,Kings,,,,,,,,,,,,0,0,0,
8/23/20 - 8/29/20,Kings,,,,,,,,,,,,0,0,0,
8/30/20 - 9/05/20,Kings,,,,,,,,,,,,0,0,0,
9/06/20 - 9/12/20,Kings,,,,,,,,,,,,<11,<11,0,
9/13/20 - 9/19/20,Kings,,,,,,,,,,,,<11,<11,<11,
9/20/20 - 9/26/20,Kings,,,,,,,,,,,,0,0,0,
9/27/20 - 10/03/20,Kings,,,,,,,,,,,,0,0,0,
10/04/20 - 10/10/20,Los Angeles,Barry J. Nidorf Juvenile Hall,163,14,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Los Angeles,Barry J. Nidorf Juvenile Hall,169,20,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,Los Angeles,Barry J. Nidorf Juvenile Hall,164,24,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Los Angeles,Barry J. Nidorf Juvenile Hall,166,20,0,0,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,Los Angeles,Barry J. Nidorf Juvenile Hall,162,19,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Los Angeles,Barry J. Nidorf Juvenile Hall,U,24,0,,,,0,0,0,,,,,
7/26/20 - 8/01/20,Los Angeles,Barry J. Nidorf Juvenile Hall,U,24,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Los Angeles,Barry J. Nidorf Juvenile Hall,147,23,0,0,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,Los Angeles,Barry J. Nidorf Juvenile Hall,146,72,<11,<11,0,<11,0,0,0,,,,,
8/16/20 - 8/22/20,Los Angeles,Barry J. Nidorf Juvenile Hall,144,36,0,0,0,0,0,<11,0,,,,,
8/23/20 - 8/29/20,Los Angeles,Barry J. Nidorf Juvenile Hall,154,15,0,0,0,0,0,<11,0,,,,,
8/30/20 - 9/05/20,Los Angeles,Barry J. Nidorf Juvenile Hall,153,27,<11,<11,0,0,0,0,0,,,,,
9/06/20 - 9/12/20,Los Angeles,Barry J. Nidorf Juvenile Hall,151,17,<11,0,0,<11,0,0,0,,,,,
9/13/20 - 9/19/20,Los Angeles,Barry J. Nidorf Juvenile Hall,152,28,<11,0,0,<11,0,<11,0,,,,,
9/20/20 - 9/26/20,Los Angeles,Barry J. Nidorf Juvenile Hall,150,26,<11,<11,0,0,0,<11,0,,,,,
9/27/20 - 10/03/20,Los Angeles,Barry J. Nidorf Juvenile Hall,155,55,0,0,0,0,0,<11,0,,,,,
10/04/20 - 10/10/20,Los Angeles,Campus Kilpatrick,32,<11,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Los Angeles,Campus Kilpatrick,30,0,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,Los Angeles,Campus Kilpatrick,29,0,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Los Angeles,Campus Kilpatrick,30,0,0,0,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,Los Angeles,Campus Kilpatrick,31,0,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Los Angeles,Campus Kilpatrick,U,<11,0,,,,0,0,0,,,,,
7/26/20 - 8/01/20,Los Angeles,Campus Kilpatrick,U,0,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Los Angeles,Campus Kilpatrick,34,0,0,0,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,Los Angeles,Campus Kilpatrick,36,0,0,0,0,0,0,0,0,,,,,
8/16/20 - 8/22/20,Los Angeles,Campus Kilpatrick,29,0,0,0,0,0,0,0,0,,,,,
8/23/20 - 8/29/20,Los Angeles,Campus Kilpatrick,29,0,0,0,0,0,0,0,0,,,,,
8/30/20 - 9/05/20,Los Angeles,Campus Kilpatrick,32,0,0,0,0,0,0,0,0,,,,,
9/06/20 - 9/12/20,Los Angeles,Campus Kilpatrick,30,0,0,0,0,0,0,0,0,,,,,
9/13/20 - 9/19/20,Los Angeles,Campus Kilpatrick,32,0,0,0,0,0,0,0,0,,,,,
9/20/20 - 9/26/20,Los Angeles,Campus Kilpatrick,33,0,0,0,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,Los Angeles,Campus Kilpatrick,33,<11,0,0,0,0,0,0,0,,,,,
10/04/20 - 10/10/20,Los Angeles,L. A. Afflerbaugh,31,0,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Los Angeles,L. A. Afflerbaugh,33,0,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,Los Angeles,L. A. Afflerbaugh,31,0,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Los Angeles,L. A. Afflerbaugh,32,0,0,0,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,Los Angeles,L. A. Afflerbaugh,32,0,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Los Angeles,L. A. Afflerbaugh,U,0,0,,,,0,0,0,,,,,
7/26/20 - 8/01/20,Los Angeles,L. A. Afflerbaugh,U,0,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Los Angeles,L. A. Afflerbaugh,36,0,0,0,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,Los Angeles,L. A. Afflerbaugh,37,36,<11,0,0,<11,0,0,0,,,,,
8/16/20 - 8/22/20,Los Angeles,L. A. Afflerbaugh,32,0,0,0,0,0,0,0,0,,,,,
8/23/20 - 8/29/20,Los Angeles,L. A. Afflerbaugh,35,0,0,0,0,0,0,0,0,,,,,
8/30/20 - 9/05/20,Los Angeles,L. A. Afflerbaugh,33,0,0,0,0,0,0,0,0,,,,,
9/06/20 - 9/12/20,Los Angeles,L. A. Afflerbaugh,33,0,0,0,0,0,0,0,0,,,,,
9/13/20 - 9/19/20,Los Angeles,L. A. Afflerbaugh,32,0,0,0,0,0,0,0,0,,,,,
9/20/20 - 9/26/20,Los Angeles,L. A. Afflerbaugh,31,0,0,0,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,Los Angeles,L. A. Afflerbaugh,31,0,0,0,0,0,0,0,0,,,,,
10/04/20 - 10/10/20,Los Angeles,L. A. Camp Dorothy Kirby,58,0,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Los Angeles,L. A. Camp Dorothy Kirby,58,0,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,Los Angeles,L. A. Camp Dorothy Kirby,58,0,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Los Angeles,L. A. Camp Dorothy Kirby,59,0,0,0,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,Los Angeles,L. A. Camp Dorothy Kirby,57,0,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Los Angeles,L. A. Camp Dorothy Kirby,U,0,0,,,,0,0,0,,,,,
7/26/20 - 8/01/20,Los Angeles,L. A. Camp Dorothy Kirby,U,0,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Los Angeles,L. A. Camp Dorothy Kirby,47,0,0,0,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,Los Angeles,L. A. Camp Dorothy Kirby,58,0,0,0,0,0,0,0,0,,,,,
8/16/20 - 8/22/20,Los Angeles,L. A. Camp Dorothy Kirby,60,0,0,0,0,0,0,0,0,,,,,
8/23/20 - 8/29/20,Los Angeles,L. A. Camp Dorothy Kirby,61,0,0,0,0,0,0,0,0,,,,,
8/30/20 - 9/05/20,Los Angeles,L. A. Camp Dorothy Kirby,59,0,0,0,0,0,0,0,0,,,,,
9/06/20 - 9/12/20,Los Angeles,L. A. Camp Dorothy Kirby,59,0,0,0,0,0,0,0,0,,,,,
9/13/20 - 9/19/20,Los Angeles,L. A. Camp Dorothy Kirby,59,0,0,0,0,0,0,0,0,,,,,
9/20/20 - 9/26/20,Los Angeles,L. A. Camp Dorothy Kirby,57,0,0,0,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,Los Angeles,L. A. Camp Dorothy Kirby,61,0,0,0,0,0,0,0,0,,,,,
10/04/20 - 10/10/20,Los Angeles,L. A. Camp Joseph Scott,15,0,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Los Angeles,L. A. Camp Joseph Scott,14,0,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,Los Angeles,L. A. Camp Joseph Scott,16,0,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Los Angeles,L. A. Camp Joseph Scott,15,0,0,0,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,Los Angeles,L. A. Camp Joseph Scott,14,<11,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Los Angeles,L. A. Camp Joseph Scott,U,<11,0,,,,0,0,0,,,,,
7/26/20 - 8/01/20,Los Angeles,L. A. Camp Joseph Scott,U,0,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Los Angeles,L. A. Camp Joseph Scott,8,<11,0,0,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,Los Angeles,L. A. Camp Joseph Scott,10,0,0,0,0,0,0,0,0,,,,,
8/16/20 - 8/22/20,Los Angeles,L. A. Camp Joseph Scott,12,0,0,0,0,0,0,0,0,,,,,
8/23/20 - 8/29/20,Los Angeles,L. A. Camp Joseph Scott,13,0,0,0,0,0,0,0,0,,,,,
8/30/20 - 9/05/20,Los Angeles,L. A. Camp Joseph Scott,13,0,0,0,0,0,0,0,0,,,,,
9/06/20 - 9/12/20,Los Angeles,L. A. Camp Joseph Scott,14,0,0,0,0,0,0,0,0,,,,,
9/13/20 - 9/19/20,Los Angeles,L. A. Camp Joseph Scott,14,0,0,0,0,0,0,0,0,,,,,
9/20/20 - 9/26/20,Los Angeles,L. A. Camp Joseph Scott,13,0,0,0,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,Los Angeles,L. A. Camp Joseph Scott,13,0,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Los Angeles,L. A. Camp Kenyon J. Scudder,U,0,0,,,,0,0,0,,,,,
7/26/20 - 8/01/20,Los Angeles,L. A. Camp Kenyon J. Scudder - No Data Reported,,,,,,,,,,,,,,
8/02/20 - 8/08/20,Los Angeles,L. A. Camp Kenyon J. Scudder - No Data Reported,,,,,,,,,,,,,,
8/09/20 - 8/15/20,Los Angeles,L. A. Camp Kenyon J. Scudder - No Data Reported,,,,,,,,,,,,,,
10/04/20 - 10/10/20,Los Angeles,L. A. Camp Paige,26,0,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Los Angeles,L. A. Camp Paige,26,0,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,Los Angeles,L. A. Camp Paige,24,0,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Los Angeles,L. A. Camp Paige,28,0,0,0,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,Los Angeles,L. A. Camp Paige,31,0,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Los Angeles,L. A. Camp Paige,U,0,0,,,,0,0,0,,,,,
7/26/20 - 8/01/20,Los Angeles,L. A. Camp Paige,U,0,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Los Angeles,L. A. Camp Paige,36,0,0,0,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,Los Angeles,L. A. Camp Paige,36,0,0,0,0,0,0,0,0,,,,,
8/16/20 - 8/22/20,Los Angeles,L. A. Camp Paige,35,0,0,0,0,0,0,0,0,,,,,
8/23/20 - 8/29/20,Los Angeles,L. A. Camp Paige,33,0,0,0,0,0,0,0,0,,,,,
8/30/20 - 9/05/20,Los Angeles,L. A. Camp Paige,30,0,0,0,0,0,0,0,0,,,,,
9/06/20 - 9/12/20,Los Angeles,L. A. Camp Paige,32,0,0,0,0,0,0,0,0,,,,,
9/13/20 - 9/19/20,Los Angeles,L. A. Camp Paige,33,0,0,0,0,0,0,0,0,,,,,
9/20/20 - 9/26/20,Los Angeles,L. A. Camp Paige,28,0,0,0,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,Los Angeles,L. A. Camp Paige,28,0,0,0,0,0,0,0,0,,,,,
10/04/20 - 10/10/20,Los Angeles,L. A. Camp Rockey,34,0,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Los Angeles,L. A. Camp Rockey,32,0,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,Los Angeles,L. A. Camp Rockey,34,0,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Los Angeles,L. A. Camp Rockey,33,34,<11,0,0,<11,0,0,0,,,,,
11/01/20 - 11/07/20,Los Angeles,L. A. Camp Rockey,27,0,0,0,0,0,0,<11,0,,,,,
7/19/20 - 7/25/20,Los Angeles,L. A. Camp Rockey,U,0,0,,,,0,0,0,,,,,
