Reporting_Period,County,Facility_Name,Number_of_Incarcerated_in_the_Facility,Total_Number_Tested,Total_Confirmed_Positive,Confirmed_at_Intake_(Optional),Confirmed_in_First_14 Days_(Optional),Confirmed_In_Custody_(Optional),Hospitalized,Estimated_Resolved,Deaths,Additional_Information_(Optional),Staff_Tested,Staff_Confirmed_Positive,Staff_Resolved,Additional_County_Information
8/02/20 - 8/08/20,Los Angeles,LA Men's Central Jail,3985,<11,<11,U,U,U,U,U,U,,,,,
8/09/20 - 8/15/20,Los Angeles,LA Men's Central Jail,3984,<11,<11,U,U,U,U,U,0,,,,,
8/16/20 - 8/22/20,Los Angeles,LA Men's Central Jail,4086,17,<11,U,U,U,U,U,0,,,,,
8/23/20 - 8/29/20,Los Angeles,LA Men's Central Jail,4168,14,<11,U,U,U,U,U,0,,,,,
8/30/20 - 9/05/20,Los Angeles,LA Men's Central Jail,4246,29,<11,U,U,U,U,U,0,,,,,
9/06/20 - 9/12/20,Los Angeles,LA Men's Central Jail,4320,22,<11,U,U,U,U,U,0,,,,,
9/13/20 - 9/19/20,Los Angeles,LA Men's Central Jail,4312,30,12,U,U,U,U,U,0,,,,,
9/20/20 - 9/26/20,Los Angeles,LA Men's Central Jail,4364,31,<11,U,U,U,U,U,0,,,,,
9/27/20 - 10/03/20,Los Angeles,LA Men's Central Jail,4382,112,12,U,U,U,U,U,0,,,,,
10/04/20 - 10/10/20,Los Angeles,LA North County Corr. Facility,3325,18,<11,U,U,U,U,U,0,,,,,
10/11/20 - 10/17/20,Los Angeles,LA North County Corr. Facility,3378,<11,0,U,U,U,U,U,0,,,,,
10/18/20 - 10/24/20,Los Angeles,LA North County Corr. Facility,3600,13,0,U,U,U,U,U,0,,,,,
10/25/20 - 10/31/20,Los Angeles,LA North County Corr. Facility,3839,18,<11,U,U,U,U,U,0,,,,,
11/01/20 - 11/07/20,Los Angeles,LA North County Corr. Facility,3911,12,<11,U,U,U,U,U,0,,,,,
7/19/20 - 7/25/20,Los Angeles,LA North County Corr. Facility,2617,U,<11,U,U,U,U,U,0,*Inmate Deaths - Number reported denotes COVID 19 positive at time of death,,,,
7/26/20 - 8/01/20,Los Angeles,LA North County Corr. Facility,2692,U,0,U,U,U,U,U,0,,,,,
8/02/20 - 8/08/20,Los Angeles,LA North County Corr. Facility,2793,<11,0,U,U,U,U,U,0,,,,,
8/09/20 - 8/15/20,Los Angeles,LA North County Corr. Facility,2835,<11,0,U,U,U,U,U,0,,,,,
8/16/20 - 8/22/20,Los Angeles,LA North County Corr. Facility,2890,<11,<11,U,U,U,U,U,0,,,,,
8/23/20 - 8/29/20,Los Angeles,LA North County Corr. Facility,2991,<11,0,U,U,U,U,U,0,,,,,
8/30/20 - 9/05/20,Los Angeles,LA North County Corr. Facility,3093,14,<11,U,U,U,U,U,0,,,,,
9/06/20 - 9/12/20,Los Angeles,LA North County Corr. Facility,3160,13,<11,U,U,U,U,U,0,,,,,
9/13/20 - 9/19/20,Los Angeles,LA North County Corr. Facility,3224,<11,<11,U,U,U,U,U,0,,,,,
9/20/20 - 9/26/20,Los Angeles,LA North County Corr. Facility,3174,<11,<11,U,U,U,U,U,0,,,,,
9/27/20 - 10/03/20,Los Angeles,LA North County Corr. Facility,3244,<11,<11,U,U,U,U,U,<11,,,,,
10/04/20 - 10/10/20,Los Angeles,LA Pitchess East Facility,23,0,0,U,U,U,U,U,0,,,,,
10/11/20 - 10/17/20,Los Angeles,LA Pitchess East Facility,22,0,0,U,U,U,U,U,0,,,,,
10/18/20 - 10/24/20,Los Angeles,LA Pitchess East Facility,21,<11,0,U,U,U,U,U,0,,,,,
10/25/20 - 10/31/20,Los Angeles,LA Pitchess East Facility,23,0,0,U,U,U,U,U,0,,,,,
11/01/20 - 11/07/20,Los Angeles,LA Pitchess East Facility,26,0,0,U,U,U,U,U,0,,,,,
7/19/20 - 7/25/20,Los Angeles,LA Pitchess East Facility,30,U,0,U,U,U,U,U,0,*Inmate Deaths- Number reported denotes COVID 19 positive at time of death,,,,
7/26/20 - 8/01/20,Los Angeles,LA Pitchess East Facility,26,U,0,U,U,U,U,U,0,,,,,
8/02/20 - 8/08/20,Los Angeles,LA Pitchess East Facility,27,0,0,U,U,U,U,U,0,,,,,
8/09/20 - 8/15/20,Los Angeles,LA Pitchess East Facility,26,0,0,U,U,U,U,U,0,,,,,
8/16/20 - 8/22/20,Los Angeles,LA Pitchess East Facility,23,0,0,U,U,U,U,U,0,,,,,
8/23/20 - 8/29/20,Los Angeles,LA Pitchess East Facility,23,0,0,U,U,U,U,U,0,,,,,
8/30/20 - 9/05/20,Los Angeles,LA Pitchess East Facility,23,0,0,U,U,U,U,U,0,,,,,
9/06/20 - 9/12/20,Los Angeles,LA Pitchess East Facility,22,0,0,U,U,U,U,U,0,,,,,
9/13/20 - 9/19/20,Los Angeles,LA Pitchess East Facility,23,0,0,U,U,U,U,U,0,,,,,
9/20/20 - 9/26/20,Los Angeles,LA Pitchess East Facility,24,0,0,U,U,U,U,U,0,,,,,
9/27/20 - 10/03/20,Los Angeles,LA Pitchess East Facility,23,0,0,U,U,U,U,U,0,,,,,
10/04/20 - 10/10/20,Los Angeles,LA Pitchess North Facility,1213,<11,<11,U,U,U,U,U,0,,,,,
10/11/20 - 10/17/20,Los Angeles,LA Pitchess North Facility,1289,<11,<11,U,U,U,U,U,0,,,,,
10/18/20 - 10/24/20,Los Angeles,LA Pitchess North Facility,1292,13,<11,U,U,U,U,U,0,,,,,
10/25/20 - 10/31/20,Los Angeles,LA Pitchess North Facility,1362,<11,<11,U,U,U,U,U,0,,,,,
11/01/20 - 11/07/20,Los Angeles,LA Pitchess North Facility,1397,<11,<11,U,U,U,U,U,0,,,,,
7/19/20 - 7/25/20,Los Angeles,LA Pitchess North Facility,1144,U,<11,U,U,U,U,U,0,*Inmate Deaths- Number reported denotes COVID 19 positive at time of death,,,,
7/26/20 - 8/01/20,Los Angeles,LA Pitchess North Facility,1146,U,0,U,U,U,U,U,0,,,,,
8/02/20 - 8/08/20,Los Angeles,LA Pitchess North Facility,1157,<11,0,U,U,U,U,U,0,,,,,
8/16/20 - 8/22/20,Los Angeles,LA Pitchess North Facility,1124,<11,0,U,U,U,U,U,0,,,,,
8/23/20 - 8/29/20,Los Angeles,LA Pitchess North Facility,1090,0,0,U,U,U,U,U,0,,,,,
8/30/20 - 9/05/20,Los Angeles,LA Pitchess North Facility,1079,<11,0,U,U,U,U,U,0,,,,,
9/06/20 - 9/12/20,Los Angeles,LA Pitchess North Facility,1078,<11,0,U,U,U,U,U,0,,,,,
9/13/20 - 9/19/20,Los Angeles,LA Pitchess North Facility,1139,<11,<11,U,U,U,U,U,0,,,,,
9/20/20 - 9/26/20,Los Angeles,LA Pitchess North Facility,1183,<11,<11,U,U,U,U,U,0,,,,,
9/27/20 - 10/03/20,Los Angeles,LA Pitchess North Facility,1164,<11,0,U,U,U,U,U,0,,,,,
10/04/20 - 10/10/20,Los Angeles,LA Pitchess South (No. Annex),662,<11,<11,U,U,U,U,U,0,,,,,
10/11/20 - 10/17/20,Los Angeles,LA Pitchess South (No. Annex),644,<11,<11,U,U,U,U,U,0,,,,,
10/18/20 - 10/24/20,Los Angeles,LA Pitchess South (No. Annex),476,0,0,U,U,U,U,U,0,,,,,
10/25/20 - 10/31/20,Los Angeles,LA Pitchess South (No. Annex),282,0,0,U,U,U,U,U,0,,,,,
11/01/20 - 11/07/20,Los Angeles,LA Pitchess South (No. Annex),275,<11,0,U,U,U,U,U,0,,,,,
7/19/20 - 7/25/20,Los Angeles,LA Pitchess South (No. Annex),493,U,0,U,U,U,U,U,0,*Inmate Deaths- Number reported denotes COVID 19 positive at time of death,,,,
7/26/20 - 8/01/20,Los Angeles,LA Pitchess South (No. Annex),482,U,0,U,U,U,U,U,0,,,,,
8/02/20 - 8/08/20,Los Angeles,LA Pitchess South (No. Annex),469,<11,0,U,U,U,U,U,0,,,,,
8/09/20 - 8/15/20,Los Angeles,LA Pitchess South (No. Annex),452,<11,0,U,U,U,U,U,0,,,,,
8/16/20 - 8/22/20,Los Angeles,LA Pitchess South (No. Annex),421,0,0,U,U,U,U,U,0,,,,,
8/23/20 - 8/29/20,Los Angeles,LA Pitchess South (No. Annex),415,<11,0,U,U,U,U,U,0,,,,,
8/30/20 - 9/05/20,Los Angeles,LA Pitchess South (No. Annex),403,0,0,U,U,U,U,U,0,,,,,
9/06/20 - 9/12/20,Los Angeles,LA Pitchess South (No. Annex),418,<11,<11,U,U,U,U,U,0,,,,,
9/13/20 - 9/19/20,Los Angeles,LA Pitchess South (No. Annex),487,<11,0,U,U,U,U,U,0,,,,,
9/20/20 - 9/26/20,Los Angeles,LA Pitchess South (No. Annex),629,<11,<11,U,U,U,U,U,0,,,,,
9/27/20 - 10/03/20,Los Angeles,LA Pitchess South (No. Annex),666,0,0,U,U,U,U,U,0,,,,,
8/09/20 - 8/15/20,Los Angeles,LA Pitchness North Facility,1151,<11,0,U,U,U,U,U,0,,,,,
10/04/20 - 10/10/20,Los Angeles,LA Twin Towers Corr. Facility,3195,89,<11,U,U,U,U,U,0,,,,,
10/11/20 - 10/17/20,Los Angeles,LA Twin Towers Corr. Facility,3202,174,13,U,U,U,U,U,0,,,,,
10/18/20 - 10/24/20,Los Angeles,LA Twin Towers Corr. Facility,3211,87,<11,U,U,U,U,U,0,,,,,
10/25/20 - 10/31/20,Los Angeles,LA Twin Towers Corr. Facility,3150,90,<11,U,U,U,U,U,0,,,,,
11/01/20 - 11/07/20,Los Angeles,LA Twin Towers Corr. Facility,3189,130,<11,U,U,U,U,U,0,,,,,
7/19/20 - 7/25/20,Los Angeles,LA Twin Towers Corr. Facility,2830,U,<11,U,U,U,U,U,0,*Inmate Deaths - Number reported denotes COVID 19 positive at time of death,,,,
7/26/20 - 8/01/20,Los Angeles,LA Twin Towers Corr. Facility,2854,U,<11,U,U,U,U,U,0,,,,,
8/02/20 - 8/08/20,Los Angeles,LA Twin Towers Corr. Facility,2905,46,12,U,U,U,U,U,0,,,,,
8/09/20 - 8/15/20,Los Angeles,LA Twin Towers Corr. Facility,2975,47,<11,U,U,U,U,U,0,,,,,
8/16/20 - 8/22/20,Los Angeles,LA Twin Towers Corr. Facility,2947,58,<11,U,U,U,U,U,0,,,,,
8/23/20 - 8/29/20,Los Angeles,LA Twin Towers Corr. Facility,3018,75,<11,U,U,U,U,U,0,,,,,
8/30/20 - 9/05/20,Los Angeles,LA Twin Towers Corr. Facility,3031,69,<11,U,U,U,U,U,0,,,,,
9/06/20 - 9/12/20,Los Angeles,LA Twin Towers Corr. Facility,3083,66,<11,U,U,U,U,U,0,,,,,
9/13/20 - 9/19/20,Los Angeles,LA Twin Towers Corr. Facility,3119,65,<11,U,U,U,U,U,0,,,,,
9/20/20 - 9/26/20,Los Angeles,LA Twin Towers Corr. Facility,3165,71,<11,U,U,U,U,U,0,,,,,
9/27/20 - 10/03/20,Los Angeles,LA Twin Towers Corr. Facility,3188,176,17,U,U,U,U,U,0,,,,,
10/04/20 - 10/10/20,Los Angeles,,,,,,,,,,,,21,13,U,
10/11/20 - 10/17/20,Los Angeles,,,,,,,,,,,,20,<11,U,
10/18/20 - 10/24/20,Los Angeles,,,,,,,,,,,,18,13,U,
10/25/20 - 10/31/20,Los Angeles,,,,,,,,,,,,17,11,U,
11/01/20 - 11/07/20,Los Angeles,,,,,,,,,,,,<11,<11,U,
7/19/20 - 7/25/20,Los Angeles,,,,,,,,,,,,U,<11,U,
7/26/20 - 8/01/20,Los Angeles,,,,,,,,,,,,U,<11,U,
8/02/20 - 8/08/20,Los Angeles,,,,,,,,,,,,<11,<11,U,
8/09/20 - 8/15/20,Los Angeles,,,,,,,,,,,,17,<11,U,
8/16/20 - 8/22/20,Los Angeles,,,,,,,,,,,,14,<11,U,
8/23/20 - 8/29/20,Los Angeles,,,,,,,,,,,,23,<11,U,
8/30/20 - 9/05/20,Los Angeles,,,,,,,,,,,,20,<11,U,
9/06/20 - 9/12/20,Los Angeles,,,,,,,,,,,,16,<11,U,
9/13/20 - 9/19/20,Los Angeles,,,,,,,,,,,,18,11,U,
9/20/20 - 9/26/20,Los Angeles,,,,,,,,,,,,25,<11,U,
9/27/20 - 10/03/20,Los Angeles,,,,,,,,,,,,40,22,U,
10/04/20 - 10/10/20,Madera,Madera Adult Correctional Facility,452,<11,0,,,,0,0,0,,,,,
10/11/20 - 10/17/20,Madera,Madera Adult Correctional Facility,421,0,0,,,,0,0,0,,,,,
10/18/20 - 10/24/20,Madera,Madera Adult Correctional Facility,425,<11,0,,,,0,0,0,,,,,
10/25/20 - 10/31/20,Madera,Madera Adult Correctional Facility,423,<11,0,,,,0,0,0,,,,,
8/09/20 - 8/15/20,Madera,Madera Adult Correctional Facility,409,<11,0,,,,0,0,0,,,,,
8/23/20 - 8/29/20,Madera,Madera Adult Correctional Facility,422,0,0,,,,0,0,0,,,,,
8/30/20 - 9/05/20,Madera,Madera Adult Correctional Facility,419,0,0,,,,0,0,0,,,,,
9/06/20 - 9/12/20,Madera,Madera Adult Correctional Facility,421,<11,0,,,,0,0,0,,,,,
9/20/20 - 9/26/20,Madera,Madera Adult Correctional Facility,426,<11,0,,,,0,0,0,,,,,
9/27/20 - 10/03/20,Madera,Madera Adult Correctional Facility,437,<11,0,,,,0,0,0,,,,,
11/01/20 - 11/07/20,Madera,No Data Reported,,,,,,,,,,,,,,
7/19/20 - 7/25/20,Madera,No Data Reported,,,,,,,,,,,,,,
7/26/20 - 8/01/20,Madera,No Data Reported,,,,,,,,,,,,,,
8/02/20 - 8/08/20,Madera,No Data Reported,,,,,,,,,,,,,,
8/16/20 - 8/22/20,Madera,No Data Reported,,,,,,,,,,,,,,
9/13/20 - 9/19/20,Madera,No Data Reported,,,,,,,,,,,,,,
10/04/20 - 10/10/20,Madera,,,,,,,,,,,,<11,<11,<11,
10/11/20 - 10/17/20,Madera,,,,,,,,,,,,<11,<11,<11,
10/18/20 - 10/24/20,Madera,,,,,,,,,,,,<11,0,0,
10/25/20 - 10/31/20,Madera,,,,,,,,,,,,<11,0,0,
11/01/20 - 11/07/20,Madera,,,,,,,,,,,,No Data Reported,,,
7/19/20 - 7/25/20,Madera,,,,,,,,,,,,No Data Reported,,,
7/26/20 - 8/01/20,Madera,,,,,,,,,,,,No Data Reported,,,
8/02/20 - 8/08/20,Madera,,,,,,,,,,,,No Data Reported,,,
8/09/20 - 8/15/20,Madera,,,,,,,,,,,,30,<11,0,
8/16/20 - 8/22/20,Madera,,,,,,,,,,,,<11,0,0,
8/23/20 - 8/29/20,Madera,,,,,,,,,,,,0,0,0,
8/30/20 - 9/05/20,Madera,,,,,,,,,,,,0,0,0,
9/06/20 - 9/12/20,Madera,,,,,,,,,,,,<11,<11,<11,
9/13/20 - 9/19/20,Madera,,,,,,,,,,,,36,0,0,
9/20/20 - 9/26/20,Madera,,,,,,,,,,,,0,<11,0,
9/27/20 - 10/03/20,Madera,,,,,,,,,,,,No Data Reported,,,
10/04/20 - 10/10/20,Marin,Marin County Jail,181,<11,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Marin,Marin County Jail,186,<11,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,Marin,Marin County Jail,178,<11,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Marin,Marin County Jail,172,103,<11,0,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,Marin,Marin County Jail,171,<11,<11,0,0,<11,0,0,0,,,,,
7/19/20 - 7/25/20,Marin,Marin County Jail,136,<11,0,0,0,0,0,0,0,,,,,
7/26/20 - 8/01/20,Marin,Marin County Jail,136,<11,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Marin,Marin County Jail,154,<11,0,0,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,Marin,Marin County Jail,162,<11,0,0,0,0,0,0,0,,,,,
8/16/20 - 8/22/20,Marin,Marin County Jail,154,<11,<11,0,0,0,0,0,0,,,,,
8/23/20 - 8/29/20,Marin,Marin County Jail,155,<11,0,0,0,0,0,0,0,,,,,
8/30/20 - 9/05/20,Marin,Marin County Jail,165,<11,0,0,0,0,0,U,0,,,,,
9/06/20 - 9/12/20,Marin,Marin County Jail,175,<11,0,0,0,0,0,U,0,,,,,
9/13/20 - 9/19/20,Marin,Marin County Jail,172,<11,0,0,0,,0,U,0,,,,,
9/20/20 - 9/26/20,Marin,Marin County Jail,181,<11,0,0,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,Marin,Marin County Jail,183,<11,0,0,0,0,0,0,0,,,,,
10/04/20 - 10/10/20,Marin,,,,,,,,,,,,<11,<11,<11,
10/11/20 - 10/17/20,Marin,,,,,,,,,,,,<11,<11,<11,
10/18/20 - 10/24/20,Marin,,,,,,,,,,,,<11,<11,<11,
10/25/20 - 10/31/20,Marin,,,,,,,,,,,,30,<11,0,
11/01/20 - 11/07/20,Marin,,,,,,,,,,,,<11,<11,<11,
7/19/20 - 7/25/20,Marin,,,,,,,,,,,,<11,0,0,
7/26/20 - 8/01/20,Marin,,,,,,,,,,,,U,<11,0,
8/02/20 - 8/08/20,Marin,,,,,,,,,,,,<11,0,0,
8/09/20 - 8/15/20,Marin,,,,,,,,,,,,<11,0,0,
8/16/20 - 8/22/20,Marin,,,,,,,,,,,,<11,0,<11,
8/23/20 - 8/29/20,Marin,,,,,,,,,,,,<11,0,0,
8/30/20 - 9/05/20,Marin,,,,,,,,,,,,<11,<11,0,
9/06/20 - 9/12/20,Marin,,,,,,,,,,,,<11,<11,0,
9/13/20 - 9/19/20,Marin,,,,,,,,,,,,<11,<11,<11,
9/20/20 - 9/26/20,Marin,,,,,,,,,,,,<11,<11,<11,
9/27/20 - 10/03/20,Marin,,,,,,,,,,,,<11,<11,<11,
10/04/20 - 10/10/20,Mariposa,Mariposa County Adult Detention Facility,27,<11,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Mariposa,Mariposa County Adult Detention Facility,32,<11,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,Mariposa,Mariposa County Adult Detention Facility,32,<11,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Mariposa,Mariposa County Adult Detention Facility,31,<11,0,0,0,,0,0,0,,,,,
11/01/20 - 11/07/20,Mariposa,Mariposa County Adult Detention Facility,28,<11,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Mariposa,Mariposa County Adult Detention Facility,22,<11,0,0,0,0,0,0,0,,,,,
7/26/20 - 8/01/20,Mariposa,Mariposa County Adult Detention Facility,27,<11,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Mariposa,Mariposa County Adult Detention Facility,25,<11,0,0,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,Mariposa,Mariposa County Adult Detention Facility,25,<11,0,0,0,0,0,0,0,,,,,
8/16/20 - 8/22/20,Mariposa,Mariposa County Adult Detention Facility,28,<11,0,0,0,0,0,0,0,,,,,
8/23/20 - 8/29/20,Mariposa,Mariposa County Adult Detention Facility,30,<11,0,0,0,0,0,0,0,,,,,
8/30/20 - 9/05/20,Mariposa,Mariposa County Adult Detention Facility,32,<11,0,0,0,0,0,0,0,,,,,
9/06/20 - 9/12/20,Mariposa,Mariposa County Adult Detention Facility,34,<11,0,0,0,0,0,0,0,,,,,
9/13/20 - 9/19/20,Mariposa,Mariposa County Adult Detention Facility,30,<11,0,0,0,0,0,0,0,,,,,
9/20/20 - 9/26/20,Mariposa,Mariposa County Adult Detention Facility,32,<11,0,0,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,Mariposa,Mariposa County Adult Detention Facility,34,<11,0,0,0,0,0,0,0,,,,,
10/04/20 - 10/10/20,Mariposa,,,,,,,,,,,,0,0,0,
10/11/20 - 10/17/20,Mariposa,,,,,,,,,,,,0,0,0,
10/18/20 - 10/24/20,Mariposa,,,,,,,,,,,,0,0,0,
10/25/20 - 10/31/20,Mariposa,,,,,,,,,,,,<11,0,0,
11/01/20 - 11/07/20,Mariposa,,,,,,,,,,,,<11,0,0,
7/19/20 - 7/25/20,Mariposa,,,,,,,,,,,,0,0,0,
7/26/20 - 8/01/20,Mariposa,,,,,,,,,,,,0,0,0,
8/02/20 - 8/08/20,Mariposa,,,,,,,,,,,,0,0,0,
8/09/20 - 8/15/20,Mariposa,,,,,,,,,,,,0,0,0,
8/16/20 - 8/22/20,Mariposa,,,,,,,,,,,,<11,0,0,
8/23/20 - 8/29/20,Mariposa,,,,,,,,,,,,0,0,0,
8/30/20 - 9/05/20,Mariposa,,,,,,,,,,,,0,0,0,
9/06/20 - 9/12/20,Mariposa,,,,,,,,,,,,<11,0,0,
9/13/20 - 9/19/20,Mariposa,,,,,,,,,,,,<11,0,0,
9/20/20 - 9/26/20,Mariposa,,,,,,,,,,,,0,0,0,
9/27/20 - 10/03/20,Mariposa,,,,,,,,,,,,0,0,0,
10/04/20 - 10/10/20,Mendocino,Mendocino Adult Detention Facility,282,<11,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Mendocino,Mendocino Adult Detention Facility,282,<11,0,0,0,0,0,0,0,,,,,
10/18/20 - 10/24/20,Mendocino,Mendocino Adult Detention Facility,294,<11,0,0,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Mendocino,Mendocino Adult Detention Facility,294,39,0,0,0,0,0,0,0,,,,,
11/01/20 - 11/07/20,Mendocino,Mendocino Adult Detention Facility,264,<11,0,0,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Mendocino,Mendocino Adult Detention Facility,219,0,0,0,0,0,0,0,0,,,,,
7/26/20 - 8/01/20,Mendocino,Mendocino Adult Detention Facility,231,<11,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Mendocino,Mendocino Adult Detention Facility,246,<11,0,0,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,Mendocino,Mendocino Adult Detention Facility,235,<11,<11,<11,0,0,0,0,0,,,,,
8/16/20 - 8/22/20,Mendocino,Mendocino Adult Detention Facility,261,<11,0,0,0,0,0,0,0,,,,,
8/23/20 - 8/29/20,Mendocino,Mendocino Adult Detention Facility,257,<11,0,0,0,0,0,0,0,,,,,
8/30/20 - 9/05/20,Mendocino,Mendocino Adult Detention Facility,271,<11,<11,<11,0,<11,0,<11,0,,,,,
9/06/20 - 9/12/20,Mendocino,Mendocino Adult Detention Facility,270,<11,0,0,0,0,0,<11,0,,,,,
9/13/20 - 9/19/20,Mendocino,Mendocino Adult Detention Facility,271,<11,0,0,0,0,0,0,0,,,,,
9/20/20 - 9/26/20,Mendocino,Mendocino Adult Detention Facility,272,<11,0,0,0,0,0,0,0,,,,,
9/27/20 - 10/03/20,Mendocino,Mendocino Adult Detention Facility,272,<11,0,0,0,0,0,0,0,,,,,
10/04/20 - 10/10/20,Mendocino,,,,,,,,,,,,0,0,0,
10/11/20 - 10/17/20,Mendocino,,,,,,,,,,,,0,0,0,
10/18/20 - 10/24/20,Mendocino,,,,,,,,,,,,0,0,0,
10/25/20 - 10/31/20,Mendocino,,,,,,,,,,,,0,0,0,
11/01/20 - 11/07/20,Mendocino,,,,,,,,,,,,0,0,0,
7/19/20 - 7/25/20,Mendocino,,,,,,,,,,,,0,0,0,
7/26/20 - 8/01/20,Mendocino,,,,,,,,,,,,0,0,0,
8/02/20 - 8/08/20,Mendocino,,,,,,,,,,,,0,0,0,
8/09/20 - 8/15/20,Mendocino,,,,,,,,,,,,0,0,0,
8/16/20 - 8/22/20,Mendocino,,,,,,,,,,,,0,0,0,
8/23/20 - 8/29/20,Mendocino,,,,,,,,,,,,0,0,0,
8/30/20 - 9/05/20,Mendocino,,,,,,,,,,,,0,0,0,
9/06/20 - 9/12/20,Mendocino,,,,,,,,,,,,0,0,0,
9/13/20 - 9/19/20,Mendocino,,,,,,,,,,,,0,0,0,
9/20/20 - 9/26/20,Mendocino,,,,,,,,,,,,0,0,0,
9/27/20 - 10/03/20,Mendocino,,,,,,,,,,,,0,0,0,
8/16/20 - 8/22/20,Merced,John Latorraca Correctional Center,339,<11,<11,0,0,<11,0,0,0,,,,,
7/19/20 - 7/25/20,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
7/26/20 - 8/01/20,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
8/02/20 - 8/08/20,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
8/09/20 - 8/15/20,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
8/23/20 - 8/29/20,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
10/18/20 - 10/24/20,Merced,Merced County Jail,155,120,<11,<11,0,0,0,0,0,,,,,
10/25/20 - 10/31/20,Merced,Merced County Jail,448,107,<11,<11,0,0,0,0,0,,,,,
7/19/20 - 7/25/20,Merced,Merced County Jail,U,64,<11,<11,<11,0,0,0,0,,,,,
7/26/20 - 8/01/20,Merced,Merced County Jail,539,74,0,0,0,0,0,0,0,,,,,
8/02/20 - 8/08/20,Merced,Merced County Jail,556,101,<11,<11,0,0,0,0,0,,,,,
8/09/20 - 8/15/20,Merced,Merced County Jail,U,12,<11,0,<11,0,0,0,0,,,,,
8/16/20 - 8/22/20,Merced,Merced County Jail,U,90,<11,<11,<11,0,0,0,0,,,,,
8/23/20 - 8/29/20,Merced,Merced County Jail,564,94,<11,<11,<11,0,0,0,0,,,,,
9/06/20 - 9/12/20,Merced,Merced County Jail,534,24,<11,<11,0,0,0,0,0,,,,,
9/13/20 - 9/19/20,Merced,Merced County Jail,516,99,0,0,0,0,0,0,0,,,,,
9/20/20 - 9/26/20,Merced,Merced County Jail,529,124,0,0,0,0,0,0,0,,,,,
10/04/20 - 10/10/20,Merced,No Data Reported,,,,,,,,,,,,,,
10/11/20 - 10/17/20,Merced,No Data Reported,,,,,,,,,,,,,,
11/01/20 - 11/07/20,Merced,No Data Reported,,,,,,,,,,,,,,
8/30/20 - 9/05/20,Merced,No Data Reported,,,,,,,,,,,,,,
9/13/20 - 9/19/20,Merced,No Data Reported,,,,,,,,,,,,,,
9/20/20 - 9/26/20,Merced,No Data Reported,,,,,,,,,,,,,,
9/27/20 - 10/03/20,Merced,No Data Reported,,,,,,,,,,,,,,
10/04/20 - 10/10/20,Merced,,,,,,,,,,,,No Data Reported,,,
10/11/20 - 10/17/20,Merced,,,,,,,,,,,,No Data Reported,,,
10/18/20 - 10/24/20,Merced,,,,,,,,,,,,No Data Reported,,,
10/25/20 - 10/31/20,Merced,,,,,,,,,,,,No Data Reported,,,
11/01/20 - 11/07/20,Merced,,,,,,,,,,,,No Data Reported,,,
7/19/20 - 7/25/20,Merced,,,,,,,,,,,,No Data Reported,,,
7/26/20 - 8/01/20,Merced,,,,,,,,,,,,No Data Reported,,,
8/02/20 - 8/08/20,Merced,,,,,,,,,,,,No Data Reported,,,
8/09/20 - 8/15/20,Merced,,,,,,,,,,,,0,0,0,
8/16/20 - 8/22/20,Merced,,,,,,,,,,,,0,0,0,
8/23/20 - 8/29/20,Merced,,,,,,,,,,,,No Data Reported,,,
8/30/20 - 9/05/20,Merced,,,,,,,,,,,,0,0,0,
9/06/20 - 9/12/20,Merced,,,,,,,,,,,,No Data Reported,,,
9/13/20 - 9/19/20,Merced,,,,,,,,,,,,No Data Reported,,,
9/20/20 - 9/26/20,Merced,,,,,,,,,,,,No Data Reported,,,
9/27/20 - 10/03/20,Merced,,,,,,,,,,,,No Data Reported,,,
10/04/20 - 10/10/20,Modoc,Modoc County Jail,35,0,0,0,0,0,0,0,0,,,,,
10/11/20 - 10/17/20,Modoc,Modoc County Jail,39,<11,0,0,0,0,0,0,0,the 8 tested are for inmates headed to CDCR. we are waiting on the test results for them,,,,
